Equipment,Type,Description
Zoom F6,Field Recorder,"The Zoom F6 is the first professional field recorder to feature both 32-bit float recording and dual AD converters, providing an unprecedented amount of dynamic range. With 6 inputs, Zoom’s solid time code, multiple power options and wireless control, the F6 is poised to be your new secret weapon."
Studio Lighting Set,Lights,Photo Studio Lighting with tripod and carry bag.
Softbox Lightning Set,Lights,Softbox Lighting Set with tripod and carry bag.
RGB Led Light,Lights,16 million color and 8 lighting scenes options in Ustellar Smart Wifi RGBCW LED flood light.
Epson EB-2250U,Beamer,"Super-bright projector offers an outstanding brightness 5,000 lumens and full HD resolution. The EB-2250U is designed to project a scalable image size of up to a 300 inches, and offers connectivity options such as dual HDMI and optional Wi-Fi."
HTC Vive Pro,VR,"The HTC Vive is a virtual reality headset developed by HTC and Valve Corporation. The headset uses ""room scale"" tracking technology, allowing the user to move in 3D space and use motion-tracked handheld controllers to interact with the environment."
Ocolus Go,VR,Oculus Go is an all-in-one virtual reality headset. Go virtually everywhere with no phone to drop in or PC to connect.
Oculus Quest 2,VR,"Oculus quest 2 is an advanced all-in-one VR system. Every detail has been engineered to make virtual worlds adapt to your movements, letting you explore awe-inspiring games and experiences with unparalleled freedom. No PC or Console required. Get the most out of each moment with blazing-fast performance and next-generation graphics. Stay focused with a stunning display that features 50% more pixels than the original quest. Or take a break from the action and grab front-row seats to live concerts, exclusive events and more. The redesigned touch controllers feature improved ergonomics and intuitive controls that transport your gestures, motions and actions directly into VR. You can even connect your VR headset to a gaming-compatible computer with an Oculus Link cable to access hundreds of PC VR games and experiences. Quest 2 also lets you bring your friends into the action. With live casting, you can share your VR experience with people around you. Or meet up with friends in virtual worlds to battle in multiplayer competitions or just spend some time together. With Oculus quest 2, there's no end in sight to what you can play, create and discover in virtual reality."
Logitech StreamCam,Video Conferencing,"The Logitech camera is a great camera for your computer. Great for streaming, HD video, photographs, video calls and more."
Beyerdynamic Phonum,Speakerphone,Wireless Bluetooth Speakerphone for conference calls using audio or video call apps such as Skype or Zoom. Ideal as portable handsfree solution in home offices. Easy to connect to smartphones or PCs via Bluetooth® and USB. Excellent voice transmission thanks to Gecko 360° technology and special microphone arrangement.
Logitech Spotlight,Presentation Clicker,For presentations without standing next to your laptop. USB receiver.
Gaomon M10K,Pen Tablet,"GAOMON M10K PRO is designed with a touch ring and 10 press keys, which are all customizable to suit different needs of creators."
Sphero Robots,Robots,"Sphero, is a white spherical robot capable of rolling around under the control of a smartphone or tablet."
Parrot Bebop 2,Drone,"Lightweight HD video drone, smartphone controlled. 500g. 25min flying time."
https://learn.microsoft.com/en-us/azure/kinect-dk/depth-camera,Camera,"Azure Kinect DK is a developer kit that contains a best-in-class 1MP depth camera, 360˚ microphone array, 12MP RGB camera, and orientation sensor for building advanced computer vision and speech models"
Nikon D5000,Camera,"This camera comes with DX SWM ED Aspherical 0.28m/0.92ft 18-55mm lens. Please note this camera does not support video recording. "
EMOTIV EPOC+,Brainwear,This mobile EEG Brainwear® device is designed for scalable and contextual human brain research and provides access to professional grade brain data
